epoch,box,cls,dfl,Recall,Precision,F1,mAP@50,mAP
408,1.476,1.601,0.065,0.476,0.645,0.530,0.524,0.369
409,1.475,1.600,0.065,0.476,0.645,0.530,0.525,0.369
410,1.473,1.598,0.064,0.476,0.643,0.530,0.524,0.369
411,1.476,1.603,0.065,0.477,0.644,0.531,0.524,0.368
412,1.469,1.598,0.065,0.474,0.648,0.531,0.523,0.368
413,1.471,1.598,0.065,0.470,0.652,0.530,0.524,0.369
414,1.474,1.600,0.065,0.474,0.648,0.530,0.525,0.370
415,1.471,1.601,0.065,0.477,0.640,0.529,0.524,0.369
416,1.476,1.602,0.065,0.479,0.635,0.529,0.523,0.369
417,1.472,1.597,0.064,0.478,0.636,0.528,0.524,0.368
418,1.472,1.601,0.064,0.477,0.639,0.529,0.524,0.369
419,1.476,1.600,0.065,0.481,0.634,0.530,0.525,0.370
420,1.475,1.599,0.064,0.478,0.637,0.528,0.526,0.370
421,1.473,1.600,0.065,0.479,0.633,0.528,0.525,0.370
422,1.475,1.596,0.064,0.477,0.635,0.528,0.524,0.370
423,1.476,1.601,0.064,0.474,0.642,0.529,0.524,0.369
424,1.478,1.599,0.064,0.473,0.647,0.529,0.524,0.370
425,1.479,1.598,0.065,0.476,0.636,0.528,0.524,0.370
426,1.479,1.600,0.064,0.477,0.637,0.529,0.524,0.370
427,1.475,1.598,0.064,0.475,0.639,0.529,0.525,0.370
428,1.476,1.596,0.064,0.475,0.639,0.528,0.524,0.370
429,1.482,1.600,0.065,0.477,0.639,0.529,0.524,0.370
430,1.479,1.599,0.064,0.480,0.630,0.528,0.524,0.369
431,1.480,1.599,0.064,0.479,0.636,0.529,0.523,0.369
432,1.477,1.593,0.065,0.478,0.634,0.528,0.524,0.369
433,1.477,1.598,0.064,0.479,0.636,0.529,0.524,0.369
434,1.475,1.595,0.064,0.474,0.643,0.529,0.523,0.369
435,1.475,1.595,0.064,0.474,0.647,0.530,0.524,0.369
436,1.475,1.597,0.064,0.477,0.647,0.532,0.525,0.370
437,1.479,1.597,0.064,0.479,0.644,0.531,0.525,0.370
438,1.481,1.598,0.064,0.478,0.644,0.531,0.525,0.370
439,1.481,1.599,0.064,0.477,0.648,0.532,0.525,0.370
440,1.479,1.596,0.064,0.476,0.649,0.532,0.525,0.370
441,1.477,1.596,0.064,0.475,0.645,0.530,0.525,0.370
442,1.479,1.597,0.064,0.473,0.651,0.530,0.524,0.369
443,1.477,1.594,0.065,0.473,0.650,0.530,0.524,0.369
444,1.480,1.595,0.064,0.479,0.647,0.532,0.524,0.370
445,1.480,1.593,0.064,0.478,0.646,0.532,0.524,0.369
446,1.480,1.596,0.064,0.473,0.654,0.531,0.525,0.369
447,1.481,1.594,0.064,0.474,0.653,0.532,0.525,0.369
448,1.478,1.595,0.064,0.475,0.652,0.532,0.525,0.369
449,1.480,1.594,0.064,0.474,0.650,0.531,0.524,0.369
450,inf,1.596,0.064,0.475,0.647,0.531,0.525,0.370
451,1.478,1.593,0.064,0.474,0.649,0.531,0.525,0.370
452,1.482,1.596,0.064,0.471,0.654,0.531,0.525,0.370
453,1.483,1.595,0.064,0.472,0.651,0.530,0.525,0.371
454,1.485,1.597,0.064,0.471,0.654,0.530,0.525,0.371
455,1.482,1.591,0.064,0.476,0.642,0.530,0.525,0.371
456,1.480,1.592,0.064,0.477,0.640,0.530,0.525,0.371
457,1.483,1.594,0.064,0.477,0.636,0.528,0.525,0.370
458,1.482,1.592,0.064,0.473,0.647,0.529,0.525,0.371
459,1.483,1.595,0.064,0.477,0.642,0.530,0.525,0.371
460,1.483,1.593,0.064,0.478,0.640,0.531,0.526,0.371
461,1.483,1.591,0.064,0.478,0.640,0.530,0.526,0.371
462,1.484,1.592,0.064,0.476,0.641,0.529,0.526,0.371
463,1.482,1.591,0.064,0.478,0.639,0.529,0.525,0.371
464,1.480,1.589,0.064,0.475,0.646,0.530,0.525,0.371
465,1.484,1.590,0.064,0.475,0.643,0.529,0.526,0.371
466,1.480,1.589,0.064,0.474,0.644,0.529,0.525,0.371
467,1.481,1.589,0.064,0.472,0.653,0.530,0.526,0.372
468,1.483,1.588,0.064,0.477,0.643,0.530,0.525,0.372
469,1.482,1.593,0.064,0.478,0.645,0.532,0.526,0.372
470,1.481,1.588,0.064,0.481,0.642,0.533,0.526,0.372
471,1.482,1.589,0.064,0.479,0.650,0.534,0.527,0.372
472,1.484,1.589,0.064,0.480,0.646,0.534,0.527,0.372
473,1.484,1.591,0.064,0.476,0.647,0.531,0.526,0.372
474,1.485,1.590,0.064,0.478,0.644,0.531,0.525,0.372
475,1.484,1.587,0.064,0.476,0.650,0.532,0.526,0.372
476,1.480,1.586,0.064,0.476,0.649,0.532,0.526,0.372
477,1.483,1.588,0.064,0.479,0.642,0.532,0.526,0.372
478,1.483,1.585,0.064,0.481,0.638,0.532,0.526,0.372
479,1.485,1.587,0.064,0.480,0.641,0.532,0.526,0.372
480,1.486,1.587,0.064,0.481,0.638,0.532,0.527,0.373
481,1.484,1.584,0.064,0.481,0.636,0.531,0.527,0.373
482,1.483,1.581,0.064,0.479,0.642,0.533,0.527,0.372
483,1.481,1.580,0.064,0.481,0.635,0.531,0.527,0.373
484,1.481,1.583,0.063,0.479,0.638,0.531,0.527,0.373
485,1.485,1.585,0.064,0.479,0.641,0.532,0.528,0.373
486,1.484,1.585,0.064,0.482,0.641,0.534,0.528,0.373
487,1.485,1.586,0.064,0.484,0.637,0.534,0.529,0.374
488,1.480,1.581,0.064,0.482,0.641,0.534,0.529,0.373
489,1.483,1.582,0.064,0.481,0.650,0.536,0.530,0.374
490,1.486,1.585,0.064,0.479,0.650,0.535,0.530,0.374
491,1.486,1.583,0.064,0.482,0.646,0.535,0.530,0.374
492,1.483,1.580,0.063,0.483,0.641,0.535,0.530,0.374
493,1.488,1.584,0.064,0.480,0.649,0.536,0.530,0.374
494,1.483,1.579,0.063,0.480,0.648,0.535,0.529,0.373
495,1.485,1.583,0.063,0.480,0.650,0.535,0.530,0.373
496,1.485,1.582,0.063,0.478,0.652,0.534,0.530,0.373
497,1.487,1.585,0.063,0.479,0.648,0.534,0.529,0.373
498,1.487,1.581,0.063,0.480,0.647,0.534,0.530,0.373
499,1.488,1.583,0.063,0.482,0.647,0.536,0.530,0.374
500,1.487,1.578,0.063,0.482,0.645,0.536,0.530,0.373
501,1.485,1.581,0.063,0.478,0.648,0.534,0.530,0.373
502,1.486,1.578,0.063,0.477,0.652,0.535,0.530,0.374
503,1.484,1.579,0.063,0.478,0.656,0.536,0.530,0.374
504,1.485,1.579,0.063,0.477,0.656,0.536,0.530,0.374
505,1.487,1.577,0.063,0.481,0.643,0.534,0.529,0.373
506,1.484,1.578,0.063,0.482,0.645,0.536,0.529,0.374
507,1.482,1.581,0.063,0.479,0.652,0.535,0.529,0.373
508,1.486,1.581,0.063,0.479,0.656,0.537,0.530,0.374
509,1.485,1.576,0.063,0.477,0.659,0.536,0.530,0.374
510,1.487,1.576,0.063,0.480,0.652,0.536,0.530,0.374
511,1.483,1.572,0.063,0.479,0.645,0.534,0.530,0.374
512,1.486,1.575,0.063,0.478,0.653,0.535,0.530,0.374
513,1.487,1.575,0.063,0.479,0.649,0.535,0.529,0.374
514,1.488,1.571,0.063,0.479,0.648,0.535,0.530,0.374
515,1.485,1.570,0.063,0.480,0.644,0.534,0.530,0.374
516,1.488,1.573,0.063,0.482,0.642,0.535,0.530,0.375
517,1.482,1.570,0.063,0.483,0.644,0.536,0.530,0.375
518,1.484,1.567,0.063,0.485,0.639,0.535,0.530,0.375
519,1.488,1.571,0.063,0.486,0.641,0.537,0.532,0.375
520,1.486,1.568,0.063,0.484,0.641,0.536,0.531,0.375
521,1.487,1.572,0.063,0.484,0.641,0.536,0.531,0.376
522,1.488,1.569,0.063,0.482,0.643,0.534,0.531,0.375
523,1.487,1.567,0.063,0.484,0.640,0.535,0.531,0.376
524,1.484,1.572,0.063,0.483,0.641,0.535,0.531,0.375
525,1.491,1.568,0.063,0.485,0.642,0.537,0.532,0.376
526,1.486,1.568,0.063,0.482,0.639,0.533,0.530,0.374
527,1.485,1.565,0.063,0.479,0.640,0.532,0.531,0.375
528,1.487,1.564,0.063,0.483,0.634,0.533,0.530,0.374
529,1.486,1.565,0.063,0.482,0.641,0.535,0.531,0.375
530,1.486,1.567,0.063,0.480,0.643,0.534,0.530,0.374
531,1.489,1.567,0.063,0.478,0.647,0.534,0.530,0.374
532,1.488,1.562,0.063,0.479,0.649,0.535,0.530,0.374
533,1.490,1.562,0.063,0.481,0.642,0.534,0.530,0.374
534,1.489,1.561,0.063,0.481,0.644,0.535,0.531,0.375
535,1.488,1.561,0.063,0.480,0.646,0.535,0.532,0.376
536,1.489,1.559,0.063,0.480,0.650,0.536,0.532,0.375
537,1.489,1.564,0.062,0.482,0.647,0.536,0.533,0.376
538,1.487,1.559,0.063,0.483,0.647,0.537,0.533,0.376
539,1.490,1.560,0.063,0.484,0.646,0.537,0.533,0.376
540,1.490,1.558,0.063,0.483,0.649,0.538,0.533,0.376
541,1.489,1.557,0.062,0.485,0.645,0.538,0.533,0.376
542,1.488,1.558,0.063,0.482,0.649,0.538,0.533,0.376
543,1.486,1.549,0.062,0.480,0.651,0.537,0.533,0.376
544,1.486,1.550,0.063,0.479,0.648,0.535,0.532,0.376
545,1.488,1.557,0.062,0.485,0.637,0.535,0.533,0.376
546,1.483,1.553,0.063,0.487,0.632,0.535,0.533,0.376
547,1.486,1.553,0.062,0.491,0.624,0.534,0.533,0.376
548,1.486,1.555,0.062,0.492,0.623,0.535,0.532,0.376
549,1.487,1.551,0.062,0.494,0.619,0.535,0.532,0.376
550,1.483,1.551,0.062,0.488,0.626,0.534,0.532,0.376
551,1.487,1.551,0.062,0.485,0.640,0.536,0.532,0.376
552,1.487,1.553,0.063,0.489,0.634,0.537,0.532,0.376
553,1.481,1.546,0.062,0.483,0.646,0.537,0.533,0.377
554,1.486,1.545,0.062,0.486,0.642,0.538,0.533,0.377
555,1.486,1.544,0.062,0.487,0.639,0.538,0.533,0.377
556,1.486,1.546,0.062,0.490,0.634,0.538,0.534,0.378
557,1.486,1.545,0.062,0.490,0.638,0.539,0.534,0.378
558,1.488,1.544,0.062,0.488,0.642,0.539,0.534,0.377
559,1.485,1.544,0.062,0.486,0.644,0.539,0.534,0.378
560,1.482,1.538,0.062,0.490,0.638,0.539,0.535,0.378
561,1.488,1.542,0.062,0.490,0.639,0.540,0.534,0.378
562,1.485,1.537,0.062,0.485,0.650,0.541,0.534,0.378
563,1.482,1.536,0.062,0.488,0.645,0.541,0.534,0.378
564,1.485,1.536,0.062,0.493,0.638,0.542,0.534,0.377
565,1.484,1.537,0.062,0.491,0.640,0.541,0.534,0.377
566,1.487,1.535,0.062,0.491,0.640,0.541,0.535,0.377
567,1.486,1.535,0.062,0.488,0.644,0.540,0.535,0.377
568,1.483,1.534,0.062,0.489,0.643,0.541,0.535,0.377
569,1.486,1.530,0.062,0.490,0.641,0.541,0.534,0.377
570,1.486,1.530,0.062,0.491,0.638,0.541,0.534,0.377
571,1.484,1.529,0.062,0.489,0.644,0.541,0.534,0.377
572,1.485,1.530,0.062,0.491,0.642,0.542,0.534,0.377
573,1.482,1.527,0.062,0.493,0.638,0.541,0.535,0.378
574,1.483,1.525,0.062,0.492,0.638,0.541,0.535,0.378
575,1.484,1.529,0.062,0.490,0.639,0.540,0.536,0.379
576,1.482,1.522,0.062,0.491,0.639,0.541,0.535,0.378
577,1.484,1.524,0.062,0.488,0.643,0.540,0.535,0.378
578,1.481,1.523,0.061,0.487,0.645,0.540,0.535,0.378
579,1.482,1.518,0.061,0.486,0.649,0.541,0.535,0.378
580,1.484,1.523,0.062,0.487,0.646,0.540,0.534,0.378
581,1.485,1.520,0.061,0.489,0.642,0.541,0.535,0.378
582,1.481,1.520,0.061,0.490,0.642,0.541,0.535,0.378
583,1.481,1.516,0.061,0.488,0.646,0.541,0.535,0.378
584,1.482,1.518,0.062,0.493,0.636,0.541,0.535,0.378
585,1.481,1.518,0.061,0.487,0.646,0.541,0.535,0.378
586,1.481,1.511,0.061,0.489,0.645,0.542,0.536,0.378
587,1.481,1.512,0.061,0.489,0.641,0.541,0.535,0.378
588,1.484,1.510,0.061,0.496,0.628,0.541,0.535,0.378
589,1.479,1.510,0.061,0.494,0.630,0.539,0.535,0.378
590,1.485,1.512,0.061,0.493,0.634,0.540,0.536,0.378
591,1.446,1.393,0.065,0.492,0.640,0.542,0.536,0.379
592,1.440,1.369,0.064,0.494,0.639,0.543,0.537,0.379
593,1.429,1.358,0.064,0.497,0.634,0.544,0.537,0.379
594,1.431,1.356,0.064,0.490,0.646,0.544,0.537,0.379
595,1.432,1.350,0.064,0.491,0.641,0.542,0.536,0.379
596,1.430,1.351,0.064,0.488,0.646,0.542,0.536,0.379
597,1.429,1.346,0.063,0.487,0.649,0.542,0.536,0.379
598,1.425,1.345,0.063,0.486,0.651,0.542,0.535,0.379
599,1.430,1.339,0.063,0.488,0.649,0.543,0.535,0.379
600,1.431,1.339,0.063,0.492,0.641,0.543,0.535,0.378
