epoch,box,cls,dfl,Recall,Precision,F1,mAP@50,mAP
094,1.420,1.645,0.069,0.437,0.596,0.483,0.476,0.332
095,1.422,1.643,0.069,0.437,0.593,0.483,0.477,0.331
096,1.420,1.641,0.069,0.441,0.589,0.485,0.478,0.332
097,1.421,1.643,0.069,0.441,0.591,0.486,0.478,0.332
098,1.423,1.637,0.069,0.441,0.592,0.486,0.479,0.333
099,1.423,1.639,0.068,0.439,0.593,0.486,0.479,0.333
100,1.422,1.639,0.069,0.443,0.589,0.487,0.480,0.334
101,1.420,1.635,0.069,0.443,0.589,0.487,0.481,0.334
102,1.421,1.637,0.068,0.446,0.590,0.488,0.481,0.335
103,1.419,1.638,0.069,0.449,0.584,0.488,0.481,0.334
104,1.422,1.637,0.069,0.447,0.592,0.490,0.481,0.335
105,1.424,1.639,0.068,0.449,0.586,0.490,0.482,0.336
106,1.421,1.638,0.068,0.448,0.588,0.490,0.483,0.336
107,1.420,1.637,0.068,0.445,0.594,0.489,0.483,0.336
108,1.423,1.637,0.069,0.448,0.594,0.491,0.483,0.337
109,1.422,1.634,0.068,0.446,0.595,0.491,0.484,0.337
110,1.419,1.632,0.068,0.442,0.604,0.491,0.484,0.338
111,1.423,1.634,0.068,0.449,0.592,0.492,0.485,0.338
112,1.422,1.634,0.068,0.452,0.585,0.492,0.485,0.339
113,1.424,1.632,0.068,0.450,0.590,0.492,0.486,0.339
114,1.420,1.628,0.068,0.448,0.599,0.494,0.486,0.339
115,1.424,1.635,0.068,0.450,0.591,0.493,0.485,0.339
116,1.421,1.627,0.068,0.446,0.599,0.493,0.487,0.340
117,1.421,1.631,0.068,0.450,0.593,0.493,0.487,0.340
118,1.422,1.632,0.068,0.447,0.594,0.492,0.486,0.340
119,1.422,1.631,0.068,0.446,0.598,0.493,0.487,0.340
120,1.420,1.634,0.068,0.445,0.605,0.494,0.487,0.340
121,1.421,1.630,0.068,0.444,0.612,0.496,0.486,0.340
122,1.422,1.629,0.068,0.445,0.607,0.495,0.487,0.340
123,1.421,1.626,0.068,0.445,0.610,0.496,0.487,0.340
124,1.424,1.626,0.068,0.445,0.605,0.495,0.487,0.340
125,1.424,1.629,0.068,0.446,0.605,0.496,0.488,0.341
126,1.424,1.626,0.068,0.445,0.613,0.497,0.488,0.341
127,1.422,1.625,0.068,0.444,0.614,0.497,0.489,0.342
128,1.421,1.624,0.068,0.449,0.605,0.498,0.489,0.342
129,1.422,1.626,0.068,0.445,0.618,0.498,0.490,0.343
130,1.424,1.631,0.068,0.448,0.614,0.499,0.491,0.344
131,1.421,1.624,0.068,0.448,0.615,0.499,0.491,0.344
132,1.420,1.625,0.068,0.447,0.615,0.498,0.491,0.344
133,1.421,1.624,0.068,0.448,0.613,0.498,0.492,0.345
134,1.423,1.625,0.068,0.450,0.610,0.498,0.492,0.345
135,1.421,1.622,0.068,0.453,0.605,0.499,0.492,0.344
136,1.422,1.624,0.068,0.454,0.603,0.499,0.492,0.344
137,1.425,1.619,0.068,0.456,0.602,0.500,0.492,0.345
138,1.422,1.620,0.068,0.457,0.600,0.501,0.492,0.344
139,1.423,1.625,0.068,0.456,0.600,0.500,0.493,0.345
140,1.421,1.621,0.068,0.459,0.595,0.501,0.492,0.344
141,1.423,1.623,0.067,0.453,0.602,0.499,0.492,0.345
142,1.422,1.620,0.068,0.452,0.606,0.499,0.493,0.345
143,1.423,1.621,0.067,0.450,0.609,0.500,0.492,0.344
144,1.422,1.620,0.067,0.448,0.615,0.500,0.493,0.345
145,1.422,1.619,0.067,0.453,0.613,0.502,0.494,0.345
146,1.423,1.623,0.067,0.452,0.610,0.501,0.494,0.345
147,1.423,1.623,0.068,0.452,0.609,0.501,0.493,0.345
148,1.420,1.619,0.068,0.453,0.608,0.501,0.493,0.346
149,1.425,1.617,0.067,0.455,0.606,0.502,0.494,0.346
150,1.423,1.620,0.067,0.454,0.608,0.502,0.494,0.346
151,1.427,1.620,0.068,0.454,0.610,0.502,0.495,0.346
152,1.424,1.619,0.067,0.455,0.608,0.503,0.496,0.346
153,1.426,1.619,0.067,0.454,0.613,0.504,0.495,0.346
154,1.420,1.614,0.067,0.454,0.610,0.503,0.496,0.347
155,1.427,1.615,0.068,0.453,0.614,0.503,0.497,0.347
156,1.424,1.618,0.067,0.454,0.614,0.503,0.496,0.347
157,1.425,1.618,0.067,0.456,0.610,0.504,0.496,0.347
158,1.425,1.617,0.067,0.457,0.608,0.503,0.496,0.347
159,1.425,1.618,0.067,0.459,0.605,0.504,0.497,0.347
160,1.426,1.617,0.067,0.456,0.614,0.506,0.497,0.347
161,1.426,1.616,0.067,0.454,0.615,0.505,0.498,0.348
162,1.427,1.618,0.067,0.452,0.619,0.505,0.497,0.348
163,1.425,1.614,0.067,0.451,0.623,0.504,0.497,0.348
164,1.426,1.612,0.067,0.452,0.625,0.505,0.497,0.347
165,1.428,1.618,0.067,0.453,0.619,0.505,0.498,0.348
166,1.427,1.613,0.067,0.455,0.614,0.504,0.498,0.348
167,1.426,1.613,0.067,0.454,0.616,0.505,0.498,0.348
168,1.429,1.615,0.067,0.453,0.621,0.505,0.498,0.348
169,1.426,1.614,0.067,0.459,0.613,0.507,0.498,0.348
170,1.425,1.615,0.067,0.457,0.614,0.506,0.498,0.349
171,1.427,1.615,0.067,0.457,0.612,0.505,0.498,0.349
172,1.426,1.613,0.067,0.458,0.615,0.507,0.498,0.349
173,1.427,1.610,0.067,0.456,0.618,0.507,0.499,0.349
174,1.428,1.616,0.067,0.456,0.611,0.504,0.499,0.349
175,1.427,1.612,0.067,0.460,0.609,0.506,0.498,0.349
176,1.426,1.611,0.067,0.457,0.615,0.506,0.498,0.349
177,1.425,1.610,0.067,0.456,0.615,0.506,0.499,0.350
178,1.426,1.614,0.067,0.458,0.612,0.506,0.499,0.350
179,1.431,1.613,0.067,0.456,0.614,0.505,0.499,0.349
180,1.428,1.611,0.067,0.455,0.612,0.504,0.499,0.349
181,1.427,1.610,0.067,0.457,0.610,0.504,0.499,0.349
182,1.429,1.612,0.067,0.458,0.611,0.505,0.498,0.349
